code,country,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
001,Alabama,1895,43.10,37.40,54.50,63.40,69.50,77.50,79.20,79.50,77.80,59.70,53.20,44.90
001,Alabama,1896,43.50,47.70,52.50,68.00,75.90,77.40,81.20,82.20,75.90,63.20,57.30,46.40
001,Alabama,1897,41.80,51.10,60.20,62.40,69.00,81.20,81.50,78.80,75.60,67.10,54.20,47.40
001,Alabama,1898,49.00,46.10,59.20,58.80,74.10,80.40,80.00,78.80,75.20,61.00,49.80,43.40
001,Alabama,1899,43.80,40.00,55.60,61.70,76.10,79.90,80.40,80.90,72.80,66.00,55.30,44.70
001,Alabama,1900,43.60,44.40,52.90,64.20,71.40,76.30,79.80,81.20,77.60,68.20,54.70,46.60
001,Alabama,1901,46.00,43.10,53.30,58.10,70.60,78.80,82.40,78.70,72.40,62.50,48.70,42.10
001,Alabama,1902,43.20,40.80,55.10,62.10,75.70,81.20,83.10,82.30,73.60,63.10,57.60,45.20
001,Alabama,1903,43.40,48.20,59.50,61.10,69.80,73.60,80.40,80.60,73.20,63.20,50.60,40.10
001,Alabama,1904,41.10,48.90,58.10,60.00,70.20,78.10,78.60,78.60,77.00,64.60,52.10,45.90
001,Alabama,1905,38.60,39.10,59.10,63.70,74.50,79.40,79.80,79.40,76.20,63.70,55.40,42.70
001,Alabama,1906,46.20,45.10,50.90,64.90,69.90,79.10,79.20,80.50,78.30,60.60,55.00,49.60
001,Alabama,1907,53.60,48.30,64.30,58.10,68.30,75.60,81.20,80.50,75.20,63.30,51.00,45.30
001,Alabama,1908,43.40,44.00,62.20,67.40,71.80,78.00,80.30,79.70,74.50,60.30,56.80,50.10
001,Alabama,1909,49.60,50.20,55.90,63.10,69.00,78.20,80.40,81.00,75.30,63.20,59.50,40.80
001,Alabama,1910,45.30,44.90,60.60,61.70,69.00,75.50,78.80,79.60,77.40,66.40,50.90,41.90
001,Alabama,1911,49.90,54.20,57.70,63.50,72.70,80.70,78.10,79.00,80.20,68.50,50.10,49.30
001,Alabama,1912,40.20,42.70,52.30,64.40,72.00,75.10,79.70,79.10,76.90,65.90,50.20,46.90
001,Alabama,1913,51.20,46.80,55.00,62.00,71.40,77.80,81.30,80.60,73.20,60.80,55.80,47.40
001,Alabama,1914,47.00,45.40,50.00,63.80,71.60,83.10,81.80,79.20,73.20,63.80,52.30,42.80
001,Alabama,1915,42.50,47.80,46.40,64.30,74.30,78.50,80.40,79.10,76.40,66.30,56.30,46.10
001,Alabama,1916,51.80,46.80,53.80,61.80,73.00,77.10,78.60,79.80,73.60,64.20,54.00,46.80
001,Alabama,1917,49.70,48.40,56.40,63.60,66.00,77.80,79.80,78.40,73.20,58.50,50.60,39.80
001,Alabama,1918,37.40,53.20,61.80,60.90,72.60,79.60,78.20,80.30,70.40,68.60,52.60,49.80
001,Alabama,1919,44.00,47.50,56.10,62.30,69.00,78.20,79.70,79.20,75.10,74.00,57.00,47.00
001,Alabama,1920,46.90,46.20,52.10,62.20,70.40,76.90,79.40,77.60,76.80,63.80,50.60,44.70
001,Alabama,1921,49.30,50.30,63.40,61.80,69.90,80.50,81.40,80.40,80.90,62.40,57.60,50.60
001,Alabama,1922,46.40,53.80,55.40,66.30,71.60,78.50,79.80,78.80,77.00,64.60,56.50,53.30
001,Alabama,1923,50.90,46.80,54.20,62.80,69.10,76.60,78.50,78.70,75.80,63.00,51.10,53.50
001,Alabama,1924,40.60,46.50,50.40,62.60,67.30,79.50,79.70,81.50,72.40,64.00,55.10,47.40
001,Alabama,1925,47.10,52.20,57.20,67.30,69.40,80.60,81.60,80.40,83.10,64.80,51.80,44.00
001,Alabama,1926,43.80,50.10,49.00,60.40,70.00,77.30,79.10,80.30,79.00,66.00,49.40,50.40
001,Alabama,1927,47.80,57.70,56.00,67.60,72.60,78.00,80.60,78.00,77.10,66.50,59.30,45.80
001,Alabama,1928,44.00,47.30,55.20,59.20,69.10,75.80,80.50,80.60,72.90,67.20,52.30,45.70
001,Alabama,1929,48.10,45.40,58.70,66.40,71.10,77.00,79.80,79.90,74.40,62.30,53.90,44.20
001,Alabama,1930,44.80,53.10,51.60,64.60,72.30,76.80,83.40,79.10,76.40,61.50,52.90,42.70
001,Alabama,1931,43.70,48.90,49.10,60.80,67.90,79.20,81.20,77.40,78.90,67.50,59.70,54.30
001,Alabama,1932,51.90,56.90,50.70,63.90,69.40,78.50,82.40,80.20,74.30,62.00,48.90,49.10
001,Alabama,1933,51.40,48.10,54.90,62.00,75.60,78.00,79.00,79.60,78.80,65.20,53.70,54.90
001,Alabama,1934,48.30,43.80,53.00,63.40,71.20,79.40,81.20,80.10,74.00,65.80,55.80,44.80
001,Alabama,1935,46.70,48.50,60.40,63.70,71.90,76.30,80.60,80.90,74.10,66.00,54.70,39.10
001,Alabama,1936,43.10,44.50,58.30,61.20,72.70,80.30,81.20,80.20,77.70,66.00,51.80,48.70
001,Alabama,1937,57.00,47.50,52.10,62.50,72.20,79.60,79.40,80.30,72.80,61.80,50.10,45.40
001,Alabama,1938,46.20,54.00,62.00,63.00,72.10,76.60,79.80,80.80,74.20,65.20,54.80,45.80
001,Alabama,1939,48.80,51.70,57.80,61.40,70.00,78.30,80.10,77.80,76.40,65.50,50.90,47.80
001,Alabama,1940,32.10,44.40,53.90,61.30,68.00,76.40,77.90,79.60,72.60,64.70,53.10,50.10
001,Alabama,1941,46.20,42.70,49.00,64.80,72.70,78.00,80.00,80.10,77.30,70.90,52.80,48.70
001,Alabama,1942,42.50,43.20,53.90,63.60,70.50,77.80,80.30,77.80,72.40,64.60,56.00,47.40
001,Alabama,1943,47.70,49.40,52.80,62.90,73.30,80.90,81.10,81.40,71.70,61.50,50.80,45.40
001,Alabama,1944,45.20,54.00,56.00,61.60,72.10,80.20,79.30,78.80,75.30,63.00,53.40,44.40
001,Alabama,1945,44.80,51.40,63.40,65.40,68.40,78.20,79.40,79.40,77.10,62.60,55.60,40.50
001,Alabama,1946,46.50,49.80,59.90,65.90,69.80,75.70,78.60,77.30,72.40,63.80,59.30,50.30
001,Alabama,1947,49.30,41.10,48.70,65.00,69.50,76.70,76.90,80.60,76.10,68.90,51.80,47.20
001,Alabama,1948,38.50,50.20,57.90,66.70,71.30,78.80,80.50,78.40,72.50,61.00,55.50,49.50
001,Alabama,1949,52.70,52.60,53.70,61.40,72.10,77.20,80.30,78.90,72.40,69.00,51.80,48.60
001,Alabama,1950,58.90,53.20,52.20,59.20,73.70,77.60,77.50,77.10,72.10,66.10,48.60,41.20
001,Alabama,1951,46.80,49.30,56.10,61.10,70.20,78.40,80.80,82.40,75.60,65.90,48.70,49.90
001,Alabama,1952,52.40,51.10,53.30,61.00,71.50,82.00,82.30,79.70,72.10,57.60,51.90,45.30
001,Alabama,1953,49.00,48.90,58.10,60.60,73.80,80.60,79.60,79.00,73.70,65.30,52.10,44.40
001,Alabama,1954,46.90,52.00,53.80,67.50,66.20,79.00,82.40,83.40,78.20,65.20,50.90,44.60
001,Alabama,1955,44.00,49.10,58.60,66.20,73.30,73.30,79.80,80.30,76.80,62.00,51.80,46.00
001,Alabama,1956,42.20,53.50,54.60,61.20,73.30,76.20,79.60,80.10,72.10,65.00,51.00,54.20
001,Alabama,1957,48.40,56.40,52.70,65.00,71.80,78.20,79.70,79.50,73.80,59.40,55.00,47.50
001,Alabama,1958,39.70,38.20,50.90,63.30,70.80,77.90,79.00,78.90,75.10,62.30,55.90,42.60
001,Alabama,1959,43.10,49.40,52.10,62.30,72.80,76.60,79.80,80.20,74.70,66.20,51.30,46.90
001,Alabama,1960,44.50,44.40,45.30,64.10,67.80,77.30,81.10,79.10,74.60,65.10,53.40,41.80
001,Alabama,1961,39.20,52.00,57.40,58.90,67.70,73.90,77.90,77.40,74.40,62.00,55.40,47.00
001,Alabama,1962,42.60,55.40,50.90,60.00,75.30,77.00,80.80,80.30,74.60,65.60,51.20,42.90
001,Alabama,1963,39.10,41.80,58.30,65.80,71.70,77.10,78.10,79.30,73.10,65.70,53.10,37.60
001,Alabama,1964,42.40,42.50,54.10,65.00,71.10,78.40,78.10,78.10,74.60,59.80,56.30,48.30
001,Alabama,1965,46.50,46.40,51.30,66.10,72.60,75.70,78.80,78.40,74.80,62.10,56.90,46.60
001,Alabama,1966,40.00,46.60,53.20,63.40,69.30,74.20,80.90,77.50,72.90,61.50,54.40,45.80
001,Alabama,1967,45.40,44.30,58.70,67.90,68.80,76.30,76.10,75.20,68.80,60.70,50.40,50.40
001,Alabama,1968,42.30,40.00,52.00,63.80,69.00,77.60,78.70,79.40,72.30,63.60,50.80,42.50
001,Alabama,1969,43.30,45.80,47.60,64.00,69.90,77.80,81.10,77.10,72.00,64.10,50.20,43.50
001,Alabama,1970,38.00,44.30,52.70,65.80,70.80,75.30,79.00,79.10,77.40,64.20,49.30,49.50
001,Alabama,1971,45.00,45.80,50.00,61.20,66.50,78.00,78.00,77.70,75.20,67.70,52.20,54.90
001,Alabama,1972,49.10,47.00,55.10,63.50,68.70,75.00,77.60,79.10,77.20,63.40,50.70,49.10
001,Alabama,1973,43.20,44.60,59.90,60.10,67.70,76.90,79.90,77.60,76.50,66.70,57.60,46.00
001,Alabama,1974,55.00,47.70,60.10,62.00,71.80,73.40,78.90,77.80,70.90,60.30,52.60,46.70
001,Alabama,1975,49.00,51.10,53.70,60.90,72.30,76.10,78.00,78.50,70.40,64.30,54.40,45.20
001,Alabama,1976,40.60,53.00,58.20,62.70,65.40,74.60,78.60,77.10,72.00,57.90,45.90,42.10
001,Alabama,1977,33.30,45.20,57.50,64.90,71.90,79.10,81.30,79.60,75.70,60.30,55.90,44.80
001,Alabama,1978,35.60,38.80,51.20,63.90,70.00,78.00,80.70,79.30,76.90,62.20,59.20,46.60
001,Alabama,1979,37.80,43.60,55.80,63.60,69.50,75.20,79.00,78.40,72.60,62.40,52.80,45.60
001,Alabama,1980,46.70,42.70,52.60,60.60,70.20,77.40,82.60,81.50,78.10,60.20,52.00,45.00
001,Alabama,1981,39.50,47.20,52.20,66.80,67.30,79.90,81.40,78.30,71.50,61.80,54.80,43.10
001,Alabama,1982,42.90,48.40,58.50,60.40,71.70,76.30,79.50,78.60,72.20,64.10,55.10,52.40
001,Alabama,1983,42.10,46.60,52.00,57.80,68.60,74.50,80.60,81.10,72.00,64.00,53.20,41.80
001,Alabama,1984,40.30,48.60,53.70,61.00,68.80,77.00,78.20,77.30,72.50,69.50,51.80,55.10
001,Alabama,1985,37.20,45.50,58.70,64.00,70.60,77.50,78.50,78.40,72.70,67.60,61.20,41.60
001,Alabama,1986,43.10,51.50,55.40,62.50,71.40,79.00,82.30,78.40,76.40,64.40,58.80,45.90
001,Alabama,1987,43.00,48.20,55.70,60.20,73.40,77.00,80.20,81.30,73.60,57.80,55.70,50.40
001,Alabama,1988,40.70,45.40,54.30,62.80,68.30,77.10,78.90,80.40,74.50,59.20,56.50,46.80
001,Alabama,1989,50.60,48.10,57.30,61.10,68.60,76.00,78.60,78.60,72.90,62.30,54.00,38.30
001,Alabama,1990,49.80,54.70,58.10,61.40,69.40,77.60,79.50,80.90,76.30,64.00,56.40,50.90
001,Alabama,1991,45.80,50.40,56.90,65.90,73.20,76.80,80.50,78.80,74.40,64.60,50.40,49.80
001,Alabama,1992,44.10,51.40,54.90,61.50,68.00,74.90,79.90,75.80,73.40,61.90,52.40,47.10
001,Alabama,1993,48.80,46.20,51.70,58.70,68.80,77.60,82.20,80.10,74.00,62.80,51.70,45.30
001,Alabama,1994,40.80,50.30,55.70,64.70,68.40,77.80,77.60,77.20,72.20,64.00,58.00,49.90
001,Alabama,1995,45.40,47.60,58.20,63.20,72.10,75.20,81.10,81.90,73.70,63.60,49.70,44.70
001,Alabama,1996,43.50,47.30,50.90,60.00,73.00,76.70,79.60,77.90,72.10,62.70,52.70,49.10
001,Alabama,1997,45.90,50.80,61.20,58.80,67.20,74.00,80.10,77.70,74.80,63.10,50.00,44.80
001,Alabama,1998,47.80,49.20,53.40,61.60,73.60,80.70,81.80,79.90,77.40,66.80,57.90,51.40
001,Alabama,1999,49.40,51.80,52.80,67.10,69.50,76.70,80.50,81.80,73.30,63.60,56.20,47.00
001,Alabama,2000,46.50,52.30,58.90,60.10,74.00,77.60,81.90,81.00,73.90,64.60,52.80,39.20
001,Alabama,2001,41.20,52.60,51.40,64.70,70.60,75.80,79.70,78.50,71.90,60.60,58.80,50.60
001,Alabama,2002,46.80,46.00,55.00,66.40,70.20,77.20,80.30,79.70,77.30,67.80,51.00,45.20
001,Alabama,2003,40.00,48.00,57.60,63.30,71.60,75.60,78.50,79.40,73.10,63.50,58.20,44.00
001,Alabama,2004,44.20,45.40,59.00,61.20,72.70,76.80,79.20,76.30,73.80,68.50,57.80,45.10
001,Alabama,2005,49.20,51.20,53.50,61.00,68.30,76.70,80.40,80.50,76.90,63.80,55.80,43.40
001,Alabama,2006,51.10,46.10,56.10,67.50,70.40,78.10,81.90,82.30,72.80,61.90,52.80,49.40
001,Alabama,2007,46.70,44.80,60.00,60.00,71.20,78.80,79.20,84.40,76.00,66.50,53.60,51.60
001,Alabama,2008,43.00,49.20,55.20,62.80,70.30,78.70,80.00,78.40,74.50,62.20,51.00,49.70
001,Alabama,2009,45.30,48.20,57.30,61.40,71.20,79.40,78.10,78.00,75.00,62.80,53.40,44.80
001,Alabama,2010,40.00,40.60,51.20,64.20,73.30,80.90,82.60,83.00,76.90,64.30,55.20,40.30
001,Alabama,2011,41.10,49.50,57.80,65.70,69.90,81.20,81.70,81.80,72.10,60.60,55.30,49.30
001,Alabama,2012,50.10,52.10,64.60,65.00,73.40,76.80,81.60,78.10,73.00,62.20,51.20,50.90
001,Alabama,2013,50.00,48.00,49.80,62.20,68.20,78.00,77.70,77.90,75.00,64.90,51.60,47.90
001,Alabama,2014,37.30,47.30,52.30,62.40,70.20,77.90,77.80,79.50,76.30,65.20,48.20,50.00
001,Alabama,2015,43.60,41.30,57.80,66.00,71.80,78.80,81.60,79.00,74.40,65.00,59.20,56.90
001,Alabama,2016,43.00,49.80,59.70,63.60,70.20,79.20,82.00,81.60,78.60,68.50,57.80,50.10
001,Alabama,2017,52.40,55.60,58.40,67.20,69.90,75.80,80.60,78.80,73.40,65.80,55.60,46.90
001,Alabama,2018,40.40,58.00,55.40,59.50,74.40,79.30,80.70,79.50,79.40,67.40,50.40,49.00
001,Alabama,2019,46.50,56.10,55.00,63.50,74.20,78.10,80.60,80.60,80.20,67.80,50.60,51.30
001,Alabama,2020,49.50,51.00,63.50,62.00,68.90,76.90,80.90,80.20,74.30,66.90,58.40,45.90
001,Alabama,2021,46.60,46.70,59.60,61.60,69.40,77.00,79.30,80.00,73.90,67.30,52.20,56.80
001,Alabama,2022,43.90,50.10,57.40,62.60,73.50,80.40,81.70,79.30,73.70,61.20,55.30,49.10
001,Alabama,2023,51.40,56.40,58.70,63.20,70.30,76.60,81.00,82.00,75.60,65.20,54.40,48.70
001,Alabama,2024,43.30,52.50,58.00,64.30,74.00,79.00,81.50,80.90,75.50,66.20,61.60,99.90
002,Arizona,1895,40.40,43.50,50.00,58.30,65.80,71.60,78.30,77.80,71.50,61.20,46.00,37.50
002,Arizona,1896,44.60,45.30,51.30,55.20,65.80,77.90,78.50,77.30,71.50,60.80,48.30,43.30
002,Arizona,1897,41.20,41.80,45.10,57.40,68.10,72.70,78.80,79.00,72.20,58.50,50.30,38.40
002,Arizona,1898,35.10,46.90,47.00,61.70,63.60,75.90,81.00,79.50,73.00,60.60,48.20,35.70
002,Arizona,1899,38.00,43.20,50.10,58.30,61.40,74.70,80.20,76.00,75.10,59.00,51.00,43.00
