code,country,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
001,Alabama,1895,52.70,48.10,66.50,75.70,80.60,88.40,89.60,89.70,89.10,74.20,65.10,57.10
001,Alabama,1896,53.00,59.00,63.90,80.60,87.80,87.90,91.60,94.00,89.20,75.80,68.90,57.70
001,Alabama,1897,52.10,61.00,69.90,74.80,82.20,94.00,92.80,89.50,88.70,81.00,67.10,58.00
001,Alabama,1898,59.10,58.00,69.90,71.00,88.00,92.70,90.50,88.40,85.40,72.30,61.00,54.30
001,Alabama,1899,54.40,51.40,67.80,72.60,88.60,92.30,91.90,92.00,86.30,78.10,67.80,55.60
001,Alabama,1900,55.30,56.40,64.50,76.70,84.40,85.20,90.60,93.50,89.10,78.20,66.40,57.40
001,Alabama,1901,57.50,53.90,65.50,70.00,84.00,91.10,95.10,89.60,83.70,76.20,62.70,53.60
001,Alabama,1902,55.40,50.90,66.20,74.90,88.30,94.60,96.10,94.60,84.80,75.60,69.20,55.60
001,Alabama,1903,53.50,59.50,68.40,74.00,81.00,85.10,92.00,91.80,86.70,77.00,62.50,52.80
001,Alabama,1904,52.60,60.20,70.30,72.70,84.20,91.30,90.60,89.60,90.30,80.10,64.90,57.00
001,Alabama,1905,49.80,49.50,71.60,75.70,85.40,91.40,91.10,89.80,88.20,74.40,68.00,52.60
001,Alabama,1906,57.20,58.10,61.90,79.10,82.10,91.10,89.90,91.70,88.60,72.60,68.80,60.40
001,Alabama,1907,65.00,60.60,77.30,70.00,79.20,88.20,92.80,92.50,86.80,76.90,62.80,55.50
001,Alabama,1908,54.60,55.20,74.60,79.70,84.00,90.40,91.90,91.40,87.00,75.30,70.30,61.60
001,Alabama,1909,61.00,63.20,67.80,75.60,81.40,89.00,91.50,92.80,87.30,79.10,74.80,52.10
001,Alabama,1910,57.60,56.90,75.20,75.80,81.90,86.90,88.80,91.20,90.30,79.50,64.10,53.20
001,Alabama,1911,61.30,65.40,71.10,74.90,86.60,93.90,89.10,89.80,92.50,80.40,62.60,60.10
001,Alabama,1912,51.40,55.10,63.60,76.00,84.80,85.80,90.20,90.20,87.50,77.60,64.80,56.90
001,Alabama,1913,62.50,58.20,66.50,75.00,84.60,91.10,92.70,93.40,84.00,73.90,70.10,57.20
001,Alabama,1914,58.80,57.40,62.20,76.70,85.40,96.40,93.90,89.60,84.50,74.80,65.80,51.50
001,Alabama,1915,53.30,58.90,58.10,79.00,86.10,90.80,92.20,90.10,88.50,78.00,70.40,58.00
001,Alabama,1916,62.60,59.90,67.10,74.70,86.20,89.00,87.30,91.30,86.60,78.00,68.50,58.20
001,Alabama,1917,60.00,60.90,68.70,77.50,79.70,90.90,90.90,89.50,84.40,73.40,64.30,50.90
001,Alabama,1918,48.60,65.20,74.60,71.80,85.30,92.20,90.60,92.40,83.10,78.40,64.50,59.50
001,Alabama,1919,56.30,58.50,69.00,76.20,79.80,88.90,90.10,89.60,88.20,84.70,69.00,58.80
001,Alabama,1920,56.80,56.50,63.70,73.70,80.90,88.70,90.10,87.40,87.90,78.40,63.30,55.20
001,Alabama,1921,61.10,62.00,75.90,74.50,82.30,93.20,92.90,91.80,93.20,76.70,70.10,62.60
001,Alabama,1922,55.40,64.30,66.60,77.80,82.10,89.90,91.10,90.40,90.00,77.00,69.00,63.70
001,Alabama,1923,62.80,57.70,66.70,74.80,79.80,87.40,89.40,88.50,87.70,76.00,63.70,62.80
001,Alabama,1924,52.70,58.00,61.80,74.80,79.50,90.60,91.90,94.30,83.60,79.10,69.70,58.50
001,Alabama,1925,57.20,64.30,70.80,80.80,82.60,93.30,93.60,93.30,96.80,75.80,63.20,55.70
001,Alabama,1926,53.80,62.10,59.80,74.00,83.40,89.40,90.90,90.40,89.80,78.30,61.50,61.80
001,Alabama,1927,59.50,68.70,67.40,79.80,84.80,88.30,92.40,89.80,90.80,81.50,71.40,57.00
001,Alabama,1928,56.00,59.00,67.10,71.40,81.50,86.00,91.40,91.60,84.80,79.40,64.50,58.30
001,Alabama,1929,59.90,56.40,70.50,78.10,82.10,88.50,91.40,93.00,84.90,74.40,62.60,56.20
001,Alabama,1930,55.70,65.80,62.80,78.80,84.40,89.90,96.90,91.70,86.90,73.60,62.60,52.30
001,Alabama,1931,55.30,61.60,60.70,74.00,80.70,93.80,92.50,89.00,92.20,80.90,73.00,63.60
001,Alabama,1932,62.50,68.00,63.00,77.20,81.30,90.00,93.60,91.10,84.70,74.70,60.50,58.90
001,Alabama,1933,61.60,58.70,67.40,73.70,87.70,91.80,89.30,90.80,91.60,78.10,67.10,66.50
001,Alabama,1934,58.60,56.40,65.90,76.10,83.00,91.10,92.00,90.40,86.50,78.50,68.40,55.30
001,Alabama,1935,57.90,60.30,72.20,75.00,83.80,88.30,91.90,91.80,86.20,80.00,66.10,49.40
001,Alabama,1936,54.20,55.80,71.40,73.60,85.70,94.60,92.60,91.50,89.30,78.20,64.10,58.50
001,Alabama,1937,65.00,58.30,64.70,75.80,84.40,91.30,91.30,91.30,84.20,73.00,61.40,55.90
001,Alabama,1938,56.80,66.00,73.90,75.20,84.00,88.20,90.20,92.60,87.20,80.50,68.60,57.70
001,Alabama,1939,60.40,63.20,70.30,74.00,81.50,88.60,91.40,88.30,88.10,79.10,64.10,60.00
001,Alabama,1940,43.00,54.30,66.30,72.80,81.70,87.60,87.80,90.70,86.50,79.90,65.00,60.10
001,Alabama,1941,57.90,53.30,60.60,77.30,86.80,89.60,90.00,90.80,89.10,83.00,66.10,59.90
001,Alabama,1942,55.50,53.60,65.80,78.30,83.50,89.20,91.40,88.50,84.30,78.10,69.50,58.40
001,Alabama,1943,59.10,62.80,64.50,76.30,85.70,93.00,92.30,93.90,83.10,75.80,65.90,56.40
001,Alabama,1944,56.30,64.30,68.10,73.30,85.10,93.20,91.80,89.00,85.80,77.90,65.40,55.70
001,Alabama,1945,56.00,62.30,75.50,78.00,81.00,90.40,90.20,90.80,88.60,75.60,68.20,50.80
001,Alabama,1946,56.40,62.90,71.80,79.00,80.80,87.00,88.10,88.40,82.70,77.30,69.90,63.10
001,Alabama,1947,58.40,54.50,60.70,76.40,81.50,87.80,89.10,92.00,87.70,80.60,61.70,59.20
001,Alabama,1948,49.80,60.50,68.70,79.20,84.50,91.50,91.60,89.70,83.70,75.40,66.80,60.00
001,Alabama,1949,63.00,63.20,65.80,72.70,85.00,87.70,90.30,89.70,83.60,79.20,66.50,60.20
001,Alabama,1950,68.40,65.80,64.30,72.10,85.00,89.00,88.00,88.90,82.20,78.50,62.80,51.70
001,Alabama,1951,58.90,61.80,67.20,73.90,84.50,90.40,92.50,95.40,87.00,78.80,61.30,61.70
001,Alabama,1952,63.00,61.80,65.90,74.50,84.30,95.00,95.80,91.10,84.00,72.60,65.60,56.10
001,Alabama,1953,60.60,60.20,70.00,73.80,85.20,92.80,90.20,91.50,87.30,80.10,66.60,54.80
001,Alabama,1954,58.70,66.00,65.70,80.40,78.30,92.60,94.80,97.30,93.00,79.60,63.90,56.60
001,Alabama,1955,54.80,60.40,71.60,79.30,86.00,85.80,90.50,91.90,89.20,76.70,65.20,56.80
001,Alabama,1956,53.50,64.40,67.50,74.00,85.60,88.20,91.40,93.10,85.70,76.90,64.60,66.10
001,Alabama,1957,58.80,66.90,63.70,77.20,83.10,88.70,90.90,92.40,83.40,70.00,65.50,59.40
001,Alabama,1958,50.20,49.80,61.30,75.70,83.20,89.20,89.20,90.50,86.60,75.10,68.90,54.00
001,Alabama,1959,55.80,59.50,64.70,74.80,85.10,87.30,91.10,92.00,85.10,75.40,64.60,57.90
001,Alabama,1960,53.60,55.70,56.30,77.60,80.90,89.50,93.40,89.60,85.20,77.60,67.00,53.60
001,Alabama,1961,50.40,63.50,69.20,72.10,80.30,84.80,89.20,88.10,86.00,77.30,67.00,57.10
001,Alabama,1962,52.90,68.40,62.30,72.60,89.80,88.60,93.00,92.60,86.60,78.90,63.00,54.40
001,Alabama,1963,50.60,55.00,71.80,78.10,84.10,88.40,88.90,91.30,85.40,81.60,65.90,48.80
001,Alabama,1964,53.70,53.40,66.90,76.80,84.00,90.70,88.20,88.70,86.70,72.80,69.00,58.90
001,Alabama,1965,58.80,58.20,62.00,78.60,86.80,86.60,89.50,89.30,84.90,74.80,69.10,59.30
001,Alabama,1966,49.30,57.50,65.90,76.20,80.60,86.60,92.70,88.10,83.90,74.30,67.20,56.40
001,Alabama,1967,56.80,55.60,72.60,81.20,81.30,87.80,86.40,85.30,80.10,75.60,64.00,60.60
001,Alabama,1968,53.10,51.90,66.10,76.40,81.30,91.00,89.90,91.20,85.30,77.10,62.80,54.30
001,Alabama,1969,53.60,56.90,59.80,76.80,82.10,90.60,92.30,88.60,83.60,75.40,64.40,55.10
001,Alabama,1970,48.30,57.90,64.30,78.20,84.50,86.20,91.00,89.20,89.20,75.30,62.10,61.40
001,Alabama,1971,55.80,58.40,62.50,76.30,79.50,90.20,88.20,88.00,85.30,79.50,65.20,64.30
001,Alabama,1972,60.40,58.00,68.10,76.90,80.60,87.40,89.20,90.90,89.40,75.50,60.50,59.20
001,Alabama,1973,53.60,56.90,70.40,71.20,80.30,87.80,90.40,88.70,87.10,79.60,70.00,57.90
001,Alabama,1974,64.00,60.40,72.80,75.70,83.40,85.00,90.40,88.40,80.70,75.30,66.00,57.50
001,Alabama,1975,60.20,62.60,66.00,73.50,83.20,87.30,88.00,88.60,80.80,75.70,66.40,56.50
001,Alabama,1976,52.80,67.20,69.80,77.40,76.60,85.90,90.00,89.00,83.00,70.50,58.30,54.20
001,Alabama,1977,43.60,59.10,69.40,78.50,85.20,92.60,93.00,90.40,85.90,72.90,65.90,56.00
001,Alabama,1978,44.40,50.30,63.60,78.00,81.60,89.30,92.10,90.20,88.60,77.60,72.30,59.20
001,Alabama,1979,47.80,53.40,68.90,75.10,80.70,86.80,88.40,89.60,81.90,76.70,65.80,57.60
001,Alabama,1980,55.80,54.70,64.20,73.70,81.10,89.40,94.80,94.00,90.30,73.50,64.10,58.00
001,Alabama,1981,52.20,59.50,66.00,80.00,80.00,91.10,93.00,88.90,84.90,74.20,68.80,53.50
001,Alabama,1982,54.40,59.60,70.00,71.90,84.70,88.00,90.00,88.80,84.20,76.70,66.70,62.00
001,Alabama,1983,52.10,56.40,63.20,70.40,80.50,84.60,92.00,93.00,83.80,76.10,66.00,52.00
001,Alabama,1984,51.70,61.70,66.80,72.80,81.30,90.20,89.00,87.40,85.70,81.00,64.50,66.60
001,Alabama,1985,48.50,56.30,70.90,77.40,82.40,89.00,88.80,88.60,84.40,77.40,71.20,54.00
001,Alabama,1986,56.20,63.40,69.40,78.00,83.20,90.30,94.20,89.70,86.80,75.60,67.90,54.50
001,Alabama,1987,53.50,58.00,67.70,74.60,84.50,87.90,91.80,92.60,85.90,74.20,69.00,61.50
001,Alabama,1988,50.60,58.10,67.40,75.80,82.90,91.20,89.10,91.20,83.70,71.60,68.40,59.30
001,Alabama,1989,62.10,58.00,68.50,74.30,80.00,85.60,87.80,89.60,82.80,75.40,66.60,49.10
001,Alabama,1990,61.00,65.80,70.20,74.90,81.00,89.80,90.50,93.90,90.00,77.70,71.30,62.00
001,Alabama,1991,53.90,61.60,69.20,76.50,82.20,86.80,90.60,89.30,86.30,78.10,63.00,60.80
001,Alabama,1992,54.30,63.50,67.80,74.50,81.00,85.40,89.90,85.70,83.00,74.40,63.20,55.90
001,Alabama,1993,58.00,57.80,63.00,71.60,80.30,89.10,93.80,90.90,85.90,74.80,64.20,55.70
001,Alabama,1994,50.90,62.20,69.20,78.20,80.60,87.40,86.60,87.50,83.40,73.60,69.60,59.80
001,Alabama,1995,56.00,59.20,69.60,76.50,83.70,86.70,92.80,92.20,85.50,75.80,61.80,55.20
001,Alabama,1996,55.40,59.10,62.80,73.70,85.40,87.40,90.20,88.10,83.00,74.60,64.00,60.60
001,Alabama,1997,56.00,60.80,74.00,71.60,79.20,82.90,90.20,88.40,87.20,75.80,60.70,54.80
001,Alabama,1998,57.70,59.70,64.70,73.40,86.30,92.30,91.80,91.20,88.20,80.00,69.60,60.80
001,Alabama,1999,61.30,63.80,66.20,79.20,82.30,86.20,90.50,94.20,86.80,76.60,70.10,59.40
001,Alabama,2000,57.10,66.20,72.10,73.40,86.30,89.40,94.90,93.80,85.20,79.70,63.60,49.80
001,Alabama,2001,52.50,64.10,61.80,77.00,83.40,86.10,90.00,88.10,82.60,74.40,73.60,62.00
001,Alabama,2002,58.30,58.80,68.40,78.10,82.30,88.50,90.80,90.80,86.90,75.80,62.10,56.30
001,Alabama,2003,51.50,58.70,68.30,75.80,81.70,85.50,87.80,89.00,84.60,75.90,70.90,56.30
001,Alabama,2004,55.80,54.60,72.50,75.20,84.10,85.70,89.50,87.00,83.80,78.40,67.50,56.80
