code,country,year,month,min,max,avg
001,Alabama,1895,jan,33.40,52.70,43.10
001,Alabama,1896,jan,34.00,53.00,43.50
001,Alabama,1897,jan,31.40,52.10,41.80
001,Alabama,1898,jan,38.80,59.10,49.00
001,Alabama,1899,jan,33.10,54.40,43.80
001,Alabama,1900,jan,31.90,55.30,43.60
001,Alabama,1901,jan,34.50,57.50,46.00
001,Alabama,1902,jan,30.90,55.40,43.20
001,Alabama,1903,jan,33.30,53.50,43.40
001,Alabama,1904,jan,29.70,52.60,41.10
001,Alabama,1905,jan,27.50,49.80,38.60
001,Alabama,1906,jan,35.10,57.20,46.20
001,Alabama,1907,jan,42.20,65.00,53.60
001,Alabama,1908,jan,32.20,54.60,43.40
001,Alabama,1909,jan,38.20,61.00,49.60
001,Alabama,1910,jan,33.00,57.60,45.30
001,Alabama,1911,jan,38.60,61.30,49.90
001,Alabama,1912,jan,29.00,51.40,40.20
001,Alabama,1913,jan,40.00,62.50,51.20
001,Alabama,1914,jan,35.20,58.80,47.00
001,Alabama,1915,jan,31.60,53.30,42.50
001,Alabama,1916,jan,41.00,62.60,51.80
001,Alabama,1917,jan,39.40,60.00,49.70
001,Alabama,1918,jan,26.10,48.60,37.40
001,Alabama,1919,jan,31.70,56.30,44.00
001,Alabama,1920,jan,37.00,56.80,46.90
001,Alabama,1921,jan,37.50,61.10,49.30
001,Alabama,1922,jan,37.40,55.40,46.40
001,Alabama,1923,jan,39.00,62.80,50.90
001,Alabama,1924,jan,28.50,52.70,40.60
001,Alabama,1925,jan,37.10,57.20,47.10
001,Alabama,1926,jan,33.70,53.80,43.80
001,Alabama,1927,jan,36.20,59.50,47.80
001,Alabama,1928,jan,31.90,56.00,44.00
001,Alabama,1929,jan,36.30,59.90,48.10
001,Alabama,1930,jan,33.90,55.70,44.80
001,Alabama,1931,jan,32.10,55.30,43.70
001,Alabama,1932,jan,41.20,62.50,51.90
001,Alabama,1933,jan,41.20,61.60,51.40
001,Alabama,1934,jan,38.00,58.60,48.30
001,Alabama,1935,jan,35.60,57.90,46.70
001,Alabama,1936,jan,32.00,54.20,43.10
001,Alabama,1937,jan,48.90,65.00,57.00
001,Alabama,1938,jan,35.60,56.80,46.20
