code,country,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
001,Alabama,1895,33.40,26.80,42.40,51.20,58.40,66.50,68.80,69.30,66.40,45.20,41.40,32.70
001,Alabama,1896,34.00,36.40,41.20,55.60,63.90,66.90,70.70,70.40,62.60,50.60,45.80,35.10
001,Alabama,1897,31.40,41.20,50.40,50.10,55.90,68.30,70.20,68.10,62.50,53.10,41.40,36.90
001,Alabama,1898,38.80,34.20,48.50,46.40,60.20,68.00,69.60,69.20,65.10,49.60,38.70,32.50
001,Alabama,1899,33.10,28.60,43.50,50.80,63.60,67.60,68.90,69.90,59.40,54.00,42.80,33.80
001,Alabama,1900,31.90,32.40,41.30,51.60,58.40,67.40,69.10,68.90,66.00,58.20,43.00,35.70
001,Alabama,1901,34.50,32.30,41.10,46.20,57.10,66.50,69.80,67.80,61.00,48.80,34.70,30.50
001,Alabama,1902,30.90,30.60,44.00,49.30,63.10,67.80,70.10,70.00,62.50,50.60,45.90,34.90
001,Alabama,1903,33.30,36.80,50.50,48.20,58.70,62.20,68.80,69.40,59.80,49.40,38.70,27.30
001,Alabama,1904,29.70,37.60,45.80,47.30,56.20,64.90,66.60,67.60,63.70,49.20,39.20,34.80
001,Alabama,1905,27.50,28.60,46.70,51.80,63.70,67.30,68.40,69.00,64.30,53.00,42.70,32.80
001,Alabama,1906,35.10,32.00,39.90,50.70,57.70,67.10,68.50,69.20,68.10,48.50,41.20,38.90
001,Alabama,1907,42.20,36.00,51.20,46.20,57.40,63.00,69.60,68.40,63.50,49.70,39.20,35.00
001,Alabama,1908,32.20,32.80,49.80,55.20,59.60,65.50,68.70,67.90,62.00,45.30,43.30,38.70
001,Alabama,1909,38.20,37.20,44.00,50.60,56.60,67.40,69.30,69.20,63.30,47.30,44.30,29.60
001,Alabama,1910,33.00,33.00,45.90,47.60,56.00,64.20,68.80,67.90,64.40,53.30,37.60,30.60
001,Alabama,1911,38.60,43.00,44.20,52.10,58.70,67.50,67.20,68.10,67.90,56.60,37.60,38.50
001,Alabama,1912,29.00,30.20,41.00,52.70,59.20,64.40,69.10,68.00,66.20,54.20,35.70,36.90
001,Alabama,1913,40.00,35.50,43.50,49.10,58.20,64.60,69.80,67.70,62.40,47.70,41.50,37.50
001,Alabama,1914,35.20,33.30,37.80,50.90,57.70,69.80,69.80,68.70,61.80,52.80,38.80,34.00
001,Alabama,1915,31.60,36.60,34.50,49.50,62.50,66.30,68.60,68.00,64.30,54.70,42.20,34.10
001,Alabama,1916,41.00,33.70,40.60,48.90,59.80,65.20,69.90,68.30,60.80,50.30,39.50,35.40
001,Alabama,1917,39.40,35.90,44.20,49.60,52.30,64.60,68.70,67.30,61.90,43.50,36.90,28.70
001,Alabama,1918,26.10,41.20,49.00,49.90,59.90,67.00,65.90,68.10,57.70,58.80,40.80,40.00
001,Alabama,1919,31.70,36.40,43.20,48.30,58.20,67.50,69.20,68.70,62.00,63.40,45.10,35.20
001,Alabama,1920,37.00,35.80,40.50,50.70,60.00,65.20,68.60,67.80,65.70,49.10,37.80,34.20
001,Alabama,1921,37.50,38.50,51.00,49.10,57.50,67.70,69.90,68.90,68.60,48.10,45.10,38.50
001,Alabama,1922,37.40,43.30,44.30,54.80,61.10,67.00,68.60,67.10,64.00,52.10,44.10,42.90
001,Alabama,1923,39.00,35.80,41.70,50.90,58.40,65.90,67.60,68.80,63.90,49.90,38.50,44.10
001,Alabama,1924,28.50,34.90,39.00,50.40,55.00,68.30,67.50,68.70,61.20,48.90,40.50,36.30
001,Alabama,1925,37.10,40.20,43.50,53.80,56.30,67.90,69.50,67.40,69.40,53.80,40.40,32.20
001,Alabama,1926,33.70,38.00,38.10,46.80,56.60,65.30,67.20,70.20,68.10,53.80,37.20,38.90
001,Alabama,1927,36.20,46.70,44.50,55.30,60.30,67.80,68.70,66.30,63.40,51.60,47.20,34.70
001,Alabama,1928,31.90,35.60,43.40,47.00,56.70,65.70,69.60,69.60,61.00,55.00,40.10,33.10
001,Alabama,1929,36.30,34.30,46.90,54.60,60.20,65.40,68.10,66.80,63.90,50.30,45.10,32.10
001,Alabama,1930,33.90,40.30,40.40,50.40,60.20,63.50,69.80,66.50,65.90,49.40,43.30,33.00
001,Alabama,1931,32.10,36.30,37.50,47.70,55.10,64.60,69.90,65.90,65.60,54.10,46.40,45.00
001,Alabama,1932,41.20,45.90,38.40,50.60,57.40,66.90,71.10,69.40,63.90,49.30,37.40,39.30
001,Alabama,1933,41.20,37.50,42.40,50.20,63.50,64.30,68.80,68.40,66.10,52.40,40.20,43.30
001,Alabama,1934,38.00,31.20,40.20,50.80,59.40,67.80,70.40,69.80,61.50,53.10,43.20,34.30
001,Alabama,1935,35.60,36.70,48.60,52.40,60.10,64.20,69.30,69.80,61.90,52.10,43.40,28.80
001,Alabama,1936,32.00,33.30,45.20,48.70,59.70,66.10,69.80,68.80,66.10,53.70,39.40,38.90
001,Alabama,1937,48.90,36.70,39.50,49.20,59.90,67.90,67.40,69.20,61.40,50.60,38.80,34.90
001,Alabama,1938,35.60,42.00,50.10,50.90,60.20,65.00,69.30,68.90,61.10,49.90,41.00,33.90
001,Alabama,1939,37.20,40.10,45.20,48.80,58.60,68.00,68.80,67.20,64.60,51.90,37.70,35.60
001,Alabama,1940,21.20,34.40,41.60,49.70,54.30,65.30,68.00,68.50,58.70,49.60,41.10,40.00
001,Alabama,1941,34.50,32.00,37.40,52.20,58.60,66.50,69.90,69.30,65.50,58.70,39.40,37.60
001,Alabama,1942,29.50,32.80,42.00,48.80,57.50,66.50,69.20,67.10,60.60,51.20,42.50,36.30
001,Alabama,1943,36.20,36.00,41.00,49.60,60.90,68.80,70.00,69.00,60.30,47.30,35.70,34.50
001,Alabama,1944,34.10,43.70,44.00,49.90,59.10,67.10,66.80,68.50,64.80,48.10,41.40,33.20
001,Alabama,1945,33.60,40.40,51.30,52.80,55.90,66.00,68.60,67.90,65.60,49.60,43.10,30.20
001,Alabama,1946,36.60,36.70,48.00,52.80,58.80,64.50,69.10,66.20,62.20,50.20,48.70,37.40
001,Alabama,1947,40.10,27.70,36.60,53.50,57.40,65.50,64.70,69.20,64.40,57.20,41.80,35.10
001,Alabama,1948,27.20,40.00,47.10,54.30,58.00,66.10,69.30,67.10,61.20,46.50,44.30,39.00
001,Alabama,1949,42.30,42.00,41.60,50.10,59.20,66.70,70.30,68.10,61.20,58.70,37.20,37.00
001,Alabama,1950,49.40,40.70,40.20,46.30,62.30,66.10,67.00,65.20,62.00,53.70,34.40,30.80
001,Alabama,1951,34.80,36.80,44.90,48.40,55.80,66.50,69.10,69.30,64.30,53.00,36.00,38.10
001,Alabama,1952,41.80,40.30,40.80,47.60,58.60,69.00,68.80,68.30,60.20,42.70,38.10,34.60
001,Alabama,1953,37.30,37.60,46.20,47.40,62.50,68.30,69.00,66.60,60.00,50.50,37.70,34.10
001,Alabama,1954,35.10,38.10,41.90,54.60,54.00,65.30,70.00,69.40,63.30,50.70,37.80,32.60
001,Alabama,1955,33.20,37.80,45.60,53.20,60.60,60.80,69.10,68.80,64.40,47.20,38.40,35.20
001,Alabama,1956,30.90,42.70,41.60,48.50,60.90,64.10,67.90,67.10,58.50,53.00,37.50,42.30
001,Alabama,1957,38.10,45.90,41.70,52.80,60.40,67.80,68.40,66.60,64.20,48.80,44.60,35.60
001,Alabama,1958,29.20,26.60,40.60,50.90,58.50,66.60,68.80,67.30,63.70,49.40,42.90,31.30
001,Alabama,1959,30.30,39.20,39.50,49.80,60.50,65.90,68.50,68.20,64.30,57.00,38.10,35.80
