year,month,value
1900,1,34.11
1900,2,30.76
1900,3,41.27
1900,4,51.6
1900,5,61.72
1900,6,70.27
1900,7,73.11
1900,8,72.84
1900,9,65.12
1900,10,56.35
1900,11,41.54
1900,12,34.48
1901,1,31.62
1901,2,29.86
1901,3,40.71
1901,4,49.37
1901,5,61.16
1901,6,68.41
1901,7,76.23
1901,8,73.17
1901,9,63.23
1901,10,55.44
1901,11,41.68
1901,12,31.48
1902,1,30.06
1902,2,31.46
1902,3,41.56
1902,4,50.85
1902,5,61.97
1902,6,68.0
1902,7,72.01
1902,8,71.33
1902,9,62.74
1902,10,54.43
1902,11,43.68
1902,12,30.79
1903,1,30.88
1903,2,28.42
1903,3,42.19
1903,4,50.2
1903,5,59.52
1903,6,65.86
1903,7,71.91
1903,8,70.93
1903,9,62.73
1903,10,53.92
1903,11,40.23
1903,12,30.54
1904,1,27.55
1904,2,31.59
1904,3,41.76
1904,4,49.44
1904,5,60.13
1904,6,67.24
1904,7,71.33
1904,8,70.7
1904,9,64.94
1904,10,53.92
1904,11,43.12
1904,12,32.02
1905,1,27.12
1905,2,26.94
1905,3,45.12
1905,4,50.47
1905,5,59.13
1905,6,67.98
1905,7,71.96
1905,8,72.36
1905,9,65.93
1905,10,51.64
1905,11,42.22
1905,12,30.99
1906,1,32.88
1906,2,33.69
1906,3,36.1
1906,4,52.72
1906,5,59.56
1906,6,67.3
1906,7,72.34
1906,8,71.82
1906,9,66.24
1906,10,52.52
1906,11,40.44
1906,12,34.97
1907,1,30.7
1907,2,35.46
1907,3,45.7
1907,4,47.53
1907,5,55.87
1907,6,65.68
1907,7,72.48
1907,8,70.75
1907,9,64.2
1907,10,53.78
1907,11,40.82
1907,12,34.7
1908,1,32.45
1908,2,32.99
1908,3,43.9
1908,4,52.74
1908,5,58.8
1908,6,66.9
1908,7,73.17
1908,8,70.66
1908,9,65.57
1908,10,51.76
1908,11,42.53
1908,12,33.31
1909,1,32.31
1909,2,35.02
1909,3,40.35
1909,4,48.96
1909,5,58.12
1909,6,68.92
1909,7,72.61
1909,8,72.9
1909,9,64.38
1909,10,52.88
1909,11,45.01
1909,12,25.61
1910,1,29.61
1910,2,29.3
1910,3,49.42
1910,4,53.6
1910,5,59.2
1910,6,68.27
1910,7,74.1
1910,8,71.08
1910,9,65.66
1910,10,55.6
1910,11,41.13
1910,12,31.93
1911,1,32.9
1911,2,33.66
1911,3,44.02
1911,4,50.0
1911,5,61.18
1911,6,70.74
1911,7,72.64
1911,8,70.88
1911,9,66.07
1911,10,52.66
1911,11,37.27
1911,12,32.2
1912,1,24.76
1912,2,31.08
1912,3,35.76
1912,4,50.56
1912,5,60.46
1912,6,66.69
1912,7,72.23
1912,8,70.11
1912,9,62.71
1912,10,53.15
1912,11,42.19
1912,12,32.95
1913,1,30.47
1913,2,29.5
1913,3,38.71
1913,4,51.37
1913,5,60.12
1913,6,68.2
1913,7,72.99
1913,8,73.35
1913,9,63.63
1913,10,51.62
1913,11,45.1
1913,12,33.33
1914,1,34.5
1914,2,29.52
1914,3,40.75
1914,4,51.03
1914,5,61.12
1914,6,69.33
1914,7,74.07
1914,8,71.67
1914,9,64.56
1914,10,55.22
1914,11,43.41
1914,12,26.78
1915,1,28.44
1915,2,35.92
1915,3,36.95
1915,4,54.57
1915,5,58.15
1915,6,66.06
1915,7,70.99
1915,8,70.14
1915,9,64.4
1915,10,55.33
1915,11,43.09
1915,12,33.17
1916,1,28.22
1916,2,33.03
1916,3,42.15
1916,4,50.25
1916,5,59.31
1916,6,66.27
1916,7,74.26
1916,8,71.78
1916,9,63.48
1916,10,52.12
1916,11,40.23
1916,12,28.94
1917,1,28.27
1917,2,30.09
1917,3,38.34
1917,4,48.63
1917,5,55.11
1917,6,66.96
1917,7,74.59
1917,8,71.01
1917,9,64.08
1917,10,50.41
1917,11,43.52
1917,12,29.64
1918,1,23.88
1918,2,33.82
1918,3,45.73
1918,4,49.01
1918,5,60.78
1918,6,71.11
1918,7,72.41
1918,8,72.48
1918,9,61.9
1918,10,56.16
1918,11,40.51
1918,12,34.45
1919,1,31.82
1919,2,32.25
1919,3,40.89
1919,4,51.33
1919,5,60.01
1919,6,69.28
1919,7,74.34
1919,8,72.25
1919,9,65.62
1919,10,52.59
1919,11,39.31
1919,12,28.78
1920,1,29.23
1920,2,33.69
1920,3,40.28
1920,4,46.78
1920,5,59.29
1920,6,67.35
1920,7,72.68
1920,8,70.61
1920,9,65.43
1920,10,54.61
1920,11,39.7
1920,12,33.13
1921,1,34.36
1921,2,36.9
1921,3,46.63
1921,4,50.99
1921,5,60.1
1921,6,70.34
1921,7,74.64
1921,8,72.0
1921,9,66.52
1921,10,55.33
1921,11,42.57
1921,12,35.08
1922,1,26.8
1922,2,31.95
1922,3,40.42
1922,4,50.31
1922,5,61.16
1922,6,70.12
1922,7,72.99
1922,8,72.79
1922,9,67.26
1922,10,55.0
1922,11,41.86
1922,12,33.55
1923,1,34.59
1923,2,29.57
1923,3,38.28
1923,4,49.89
1923,5,59.5
1923,6,68.02
1923,7,73.74
1923,8,71.08
1923,9,65.05
1923,10,51.22
1923,11,42.58
1923,12,35.98
1924,1,26.26
1924,2,35.19
1924,3,37.18
1924,4,50.25
1924,5,57.88
1924,6,68.58
1924,7,71.85
1924,8,72.03
1924,9,62.73
1924,10,54.95
1924,11,42.4
1924,12,27.59
1925,1,29.1
1925,2,38.28
1925,3,44.24
1925,4,54.7
1925,5,59.99
1925,6,69.82
1925,7,74.12
1925,8,71.38
1925,9,66.65
1925,10,48.92
1925,11,40.41
1925,12,32.5
1926,1,30.33
1926,2,37.67
1926,3,39.65
1926,4,50.04
1926,5,61.0
1926,6,68.18
1926,7,73.33
1926,8,72.3
1926,9,64.09
1926,10,54.93
1926,11,40.46
1926,12,31.33
1927,1,31.55
1927,2,37.9
1927,3,42.26
1927,4,51.58
1927,5,59.76
1927,6,67.19
1927,7,72.66
1927,8,69.33
1927,9,64.96
1927,10,55.89
1927,11,44.35
1927,12,28.22
1928,1,31.98
1928,2,34.34
1928,3,43.12
1928,4,48.06
1928,5,61.5
1928,6,65.89
1928,7,73.36
1928,8,71.8
1928,9,63.25
1928,10,55.06
1928,11,41.56
1928,12,32.94
1929,1,26.33
1929,2,26.92
1929,3,43.56
1929,4,51.17
1929,5,58.84
1929,6,67.48
1929,7,73.58
1929,8,72.59
1929,9,63.39
1929,10,53.91
1929,11,38.41
1929,12,33.96
1930,1,23.56
1930,2,40.08
1930,3,40.41
1930,4,54.39
1930,5,59.22
1930,6,68.4
1930,7,75.0
1930,8,72.88
1930,9,65.73
1930,10,51.69
1930,11,41.09
1930,12,31.17
1931,1,32.99
1931,2,37.94
1931,3,39.4
1931,4,51.04
1931,5,59.41
1931,6,70.68
1931,7,75.78
1931,8,71.94
1931,9,68.11
1931,10,56.55
1931,11,43.38
1931,12,35.06
1932,1,31.55
1932,2,36.7
1932,3,37.36
1932,4,51.58
1932,5,60.49
1932,6,69.22
1932,7,74.07
1932,8,72.54
1932,9,64.67
1932,10,52.3
1932,11,40.75
1932,12,29.41
1933,1,34.3
1933,2,29.59
1933,3,41.83
1933,4,49.84
1933,5,59.81
1933,6,71.55
1933,7,75.11
1933,8,71.89
1933,9,67.71
1933,10,55.2
1933,11,42.51
1933,12,36.43
1934,1,35.08
1934,2,34.32
1934,3,42.78
1934,4,53.73
1934,5,64.69
1934,6,70.66
1934,7,76.35
1934,8,73.51
1934,9,63.82
1934,10,56.5
1934,11,45.01
1934,12,32.67
1935,1,31.51
1935,2,36.01
1935,3,43.61
1935,4,49.69
1935,5,57.31
1935,6,67.62
1935,7,75.11
1935,8,72.95
1935,9,64.78
1935,10,53.8
1935,11,39.47
1935,12,30.74
1936,1,27.36
1936,2,25.23
