Date,Value,Anomaly
190001,44.26,3.78
190002,42.13,-2.69
190003,52.99,-0.01
190004,63.34,-0.12
190005,74.88,1.95
190006,83.50,2.19
190007,86.13,-0.51
190008,85.80,0.69
190009,76.98,-0.80
190010,67.89,1.11
190011,52.27,-0.42
190012,44.67,1.91
190101,42.17,1.69
190102,40.23,-4.59
190103,52.45,-0.55
190104,61.66,-1.80
190105,74.08,1.15
190106,81.39,0.08
190107,89.92,3.28
190108,86.11,1.00
190109,75.67,-2.11
190110,68.49,1.71
190111,53.35,0.66
190112,41.95,-0.81
190201,40.93,0.45
190202,41.85,-2.97
190203,52.34,-0.66
190204,63.37,-0.09
190205,74.39,1.46
190206,81.14,-0.17
190207,84.94,-1.70
190208,84.38,-0.73
190209,75.96,-1.82
190210,67.28,0.50
190211,53.53,0.84
190212,40.19,-2.57
190301,40.75,0.27
190302,39.20,-5.62
190303,52.57,-0.43
190304,62.44,-1.02
190305,71.87,-1.06
190306,78.08,-3.23
190307,84.76,-1.88
190308,83.43,-1.68
190309,75.65,-2.13
190310,67.19,0.41
190311,51.71,-0.98
190312,41.99,-0.77
190401,38.77,-1.71
190402,43.30,-1.52
190403,52.97,-0.03
190404,61.88,-1.58
190405,73.00,0.07
190406,79.92,-1.39
190407,84.13,-2.51
190408,83.52,-1.59
190409,77.72,-0.06
190410,66.60,-0.18
190411,56.14,3.45
190412,42.51,-0.25
190501,36.82,-3.66
190502,37.35,-7.47
190503,55.89,2.89
190504,62.35,-1.11
190505,70.79,-2.14
190506,80.37,-0.94
190507,84.56,-2.08
190508,85.30,0.19
190509,78.82,1.04
190510,63.79,-2.99
190511,53.40,0.71
190512,40.89,-1.87
190601,43.38,2.90
190602,44.94,0.12
190603,46.29,-6.71
190604,65.32,1.86
190605,71.96,-0.97
190606,79.93,-1.38
190607,85.12,-1.52
190608,84.04,-1.07
190609,78.75,0.97
190610,65.01,-1.77
190611,50.70,-1.99
190612,44.22,1.46
190701,40.44,-0.04
190702,47.07,2.25
190703,57.09,4.09
190704,59.50,-3.96
190705,68.13,-4.80
190706,78.15,-3.16
190707,85.23,-1.41
190708,83.55,-1.56
190709,77.09,-0.69
190710,66.33,-0.45
190711,51.85,-0.84
190712,44.62,1.86
190801,43.29,2.81
190802,43.52,-1.30
190803,55.80,2.80
190804,65.66,2.20
190805,70.93,-2.00
190806,79.56,-1.75
190807,86.14,-0.50
190808,83.37,-1.74
190809,79.47,1.69
190810,64.45,-2.33
190811,54.45,1.76
190812,43.38,0.62
190901,42.39,1.91
190902,46.15,1.33
190903,51.33,-1.67
190904,61.48,-1.98
190905,71.02,-1.91
190906,81.45,0.14
190907,85.21,-1.43
190908,86.05,0.94
190909,77.31,-0.47
190910,66.29,-0.49
190911,56.30,3.61
190912,34.79,-7.97
191001,39.81,-0.67
191002,40.78,-4.04
191003,63.09,10.09
191004,67.39,3.93
191005,72.41,-0.52
191006,81.88,0.57
191007,87.60,0.96
191008,84.45,-0.66
191009,78.49,0.71
191010,69.01,2.23
191011,52.07,-0.62
191012,41.97,-0.79
191101,43.41,2.93
191102,44.06,-0.76
191103,56.28,3.28
191104,62.10,-1.36
191105,74.71,1.78
191106,84.22,2.91
191107,85.77,-0.87
191108,83.98,-1.13
191109,78.33,0.55
191110,64.27,-2.51
191111,48.45,-4.24
191112,41.79,-0.97
191201,35.38,-5.10
191202,41.97,-2.85
191203,46.20,-6.80
191204,62.26,-1.20
191205,73.02,0.09
191206,79.66,-1.65
191207,84.58,-2.06
191208,82.31,-2.80
191209,74.98,-2.80
191210,65.50,-1.28
191211,54.07,1.38
191212,43.45,0.69
191301,41.43,0.95
191302,40.39,-4.43
191303,50.27,-2.73
191304,64.44,0.98
191305,73.22,0.29
191306,81.10,-0.21
191307,85.98,-0.66
191308,86.92,1.81
191309,76.37,-1.41
191310,63.59,-3.19
191311,55.26,2.57
191312,42.49,-0.27
191401,44.47,3.99
191402,40.82,-4.00
191403,52.56,-0.44
191404,62.92,-0.54
191405,74.01,1.08
191406,81.97,0.66
191407,87.24,0.60
191408,84.65,-0.46
191409,77.59,-0.19
191410,66.94,0.16
191411,55.89,3.20
191412,35.62,-7.14
191501,38.50,-1.98
191502,45.52,0.70
191503,47.37,-5.63
191504,67.06,3.60
191505,69.73,-3.20
191506,78.69,-2.62
191507,83.23,-3.41
191508,82.87,-2.24
191509,76.51,-1.27
191510,68.88,2.10
191511,54.70,2.01
191512,43.21,0.45
191601,38.26,-2.22
191602,44.37,-0.45
191603,54.61,1.61
191604,62.47,-0.99
191605,72.19,-0.74
191606,79.16,-2.15
191607,87.08,0.44
191608,84.69,-0.42
191609,77.00,-0.78
191610,64.81,-1.97
191611,52.65,-0.04
191612,39.87,-2.89
191701,38.98,-1.50
191702,41.90,-2.92
191703,50.02,-2.98
191704,60.44,-3.02
191705,67.21,-5.72
191706,80.76,-0.55
191707,87.98,1.34
191708,84.45,-0.66
191709,77.05,-0.73
191710,64.33,-2.45
191711,56.01,3.32
191712,40.62,-2.14
191801,34.47,-6.01
191802,45.88,1.06
191803,58.28,5.28
191804,61.29,-2.17
191805,73.78,0.85
191806,84.63,3.32
191807,85.77,-0.87
191808,85.75,0.64
191809,75.04,-2.74
191810,67.71,0.93
191811,50.58,-2.11
191812,43.74,0.98
191901,42.73,2.25
191902,42.13,-2.69
191903,52.18,-0.82
191904,63.54,0.08
191905,72.59,-0.34
191906,82.40,1.09
191907,87.49,0.85
191908,85.62,0.51
191909,78.35,0.57
191910,63.41,-3.37
191911,49.95,-2.74
191912,39.18,-3.58
192001,39.31,-1.17
192002,44.06,-0.76
192003,51.89,-1.11
192004,58.12,-5.34
192005,71.76,-1.17
192006,80.01,-1.30
192007,86.00,-0.64
192008,83.28,-1.83
192009,78.15,0.37
