year,month,fahrenheit
1900,1,44.26
1900,2,42.13
1900,3,52.99
1900,4,63.34
1900,5,74.88
1900,6,83.5
1900,7,86.13
1900,8,85.8
1900,9,76.98
1900,10,67.89
1900,11,52.27
1900,12,44.67
1901,1,42.17
1901,2,40.23
1901,3,52.45
1901,4,61.66
1901,5,74.08
1901,6,81.39
1901,7,89.92
1901,8,86.11
1901,9,75.67
1901,10,68.49
1901,11,53.35
1901,12,41.95
1902,1,40.93
1902,2,41.85
1902,3,52.34
1902,4,63.37
1902,5,74.39
1902,6,81.14
1902,7,84.94
1902,8,84.38
1902,9,75.96
1902,10,67.28
1902,11,53.53
1902,12,40.19
1903,1,40.75
1903,2,39.2
1903,3,52.57
1903,4,62.44
1903,5,71.87
1903,6,78.08
1903,7,84.76
1903,8,83.43
1903,9,75.65
1903,10,67.19
1903,11,51.71
1903,12,41.99
1904,1,38.77
1904,2,43.3
1904,3,52.97
1904,4,61.88
1904,5,73.0
1904,6,79.92
1904,7,84.13
1904,8,83.52
1904,9,77.72
1904,10,66.6
1904,11,56.14
1904,12,42.51
1905,1,36.82
1905,2,37.35
1905,3,55.89
1905,4,62.35
1905,5,70.79
1905,6,80.37
1905,7,84.56
1905,8,85.3
1905,9,78.82
1905,10,63.79
1905,11,53.4
1905,12,40.89
1906,1,43.38
1906,2,44.94
1906,3,46.29
1906,4,65.32
1906,5,71.96
1906,6,79.93
1906,7,85.12
1906,8,84.04
1906,9,78.75
1906,10,65.01
1906,11,50.7
1906,12,44.22
1907,1,40.44
1907,2,47.07
1907,3,57.09
1907,4,59.5
1907,5,68.13
1907,6,78.15
1907,7,85.23
1907,8,83.55
1907,9,77.09
1907,10,66.33
1907,11,51.85
1907,12,44.62
1908,1,43.29
1908,2,43.52
1908,3,55.8
1908,4,65.66
1908,5,70.93
1908,6,79.56
1908,7,86.14
1908,8,83.37
1908,9,79.47
1908,10,64.45
1908,11,54.45
1908,12,43.38
1909,1,42.39
1909,2,46.15
1909,3,51.33
1909,4,61.48
1909,5,71.02
1909,6,81.45
1909,7,85.21
1909,8,86.05
1909,9,77.31
1909,10,66.29
1909,11,56.3
1909,12,34.79
1910,1,39.81
1910,2,40.78
1910,3,63.09
1910,4,67.39
1910,5,72.41
1910,6,81.88
1910,7,87.6
1910,8,84.45
1910,9,78.49
1910,10,69.01
1910,11,52.07
1910,12,41.97
1911,1,43.41
1911,2,44.06
1911,3,56.28
1911,4,62.1
1911,5,74.71
1911,6,84.22
1911,7,85.77
1911,8,83.98
1911,9,78.33
1911,10,64.27
1911,11,48.45
1911,12,41.79
1912,1,35.38
1912,2,41.97
1912,3,46.2
1912,4,62.26
1912,5,73.02
1912,6,79.66
1912,7,84.58
1912,8,82.31
1912,9,74.98
1912,10,65.5
1912,11,54.07
1912,12,43.45
1913,1,41.43
1913,2,40.39
1913,3,50.27
1913,4,64.44
1913,5,73.22
1913,6,81.1
1913,7,85.98
1913,8,86.92
1913,9,76.37
1913,10,63.59
1913,11,55.26
1913,12,42.49
1914,1,44.47
1914,2,40.82
1914,3,52.56
1914,4,62.92
1914,5,74.01
1914,6,81.97
1914,7,87.24
1914,8,84.65
1914,9,77.59
1914,10,66.94
1914,11,55.89
1914,12,35.62
1915,1,38.5
1915,2,45.52
1915,3,47.37
1915,4,67.06
1915,5,69.73
1915,6,78.69
1915,7,83.23
1915,8,82.87
1915,9,76.51
1915,10,68.88
1915,11,54.7
1915,12,43.21
1916,1,38.26
1916,2,44.37
1916,3,54.61
1916,4,62.47
1916,5,72.19
1916,6,79.16
1916,7,87.08
1916,8,84.69
1916,9,77.0
1916,10,64.81
1916,11,52.65
1916,12,39.87
1917,1,38.98
1917,2,41.9
1917,3,50.02
1917,4,60.44
1917,5,67.21
1917,6,80.76
1917,7,87.98
1917,8,84.45
1917,9,77.05
1917,10,64.33
1917,11,56.01
1917,12,40.62
1918,1,34.47
1918,2,45.88
1918,3,58.28
1918,4,61.29
1918,5,73.78
1918,6,84.63
1918,7,85.77
1918,8,85.75
1918,9,75.04
1918,10,67.71
1918,11,50.58
1918,12,43.74
1919,1,42.73
1919,2,42.13
1919,3,52.18
1919,4,63.54
1919,5,72.59
1919,6,82.4
1919,7,87.49
1919,8,85.62
1919,9,78.35
1919,10,63.41
1919,11,49.95
1919,12,39.18
1920,1,39.31
1920,2,44.06
1920,3,51.89
1920,4,58.12
1920,5,71.76
1920,6,80.01
1920,7,86.0
1920,8,83.28
1920,9,78.15
1920,10,67.06
1920,11,49.77
1920,12,42.73
1921,1,44.47
1921,2,48.27
1921,3,58.55
1921,4,63.72
1921,5,72.52
1921,6,82.96
1921,7,87.57
1921,8,84.99
1921,9,79.36
1921,10,69.3
1921,11,54.21
1921,12,45.34
1922,1,37.24
1922,2,42.89
1922,3,51.46
1922,4,61.81
1922,5,73.69
1922,6,83.34
1922,7,86.09
1922,8,86.0
1922,9,81.48
1922,10,68.67
1922,11,52.09
1922,12,43.59
1923,1,45.09
1923,2,40.75
1923,3,50.47
1923,4,62.01
1923,5,72.27
1923,6,80.33
1923,7,86.54
1923,8,83.75
1923,9,77.45
1923,10,62.73
1923,11,53.65
1923,12,45.61
1924,1,37.67
1924,2,46.13
1924,3,47.19
1924,4,62.78
1924,5,71.26
1924,6,81.9
1924,7,85.37
1924,8,85.78
1924,9,76.08
1924,10,68.43
1924,11,54.32
1924,12,37.85
1925,1,39.87
1925,2,49.73
1925,3,57.11
1925,4,67.64
1925,5,73.62
1925,6,82.65
1925,7,87.4
1925,8,84.94
1925,9,79.02
1925,10,59.54
1925,11,51.44
1925,12,42.26
1926,1,40.46
1926,2,48.56
1926,3,51.21
1926,4,62.67
1926,5,74.41
1926,6,81.77
1926,7,86.79
1926,8,85.08
1926,9,76.24
1926,10,67.06
1926,11,51.15
1926,12,40.87
1927,1,41.86
1927,2,48.27
1927,3,53.24
1927,4,63.52
1927,5,71.94
1927,6,79.52
1927,7,85.84
1927,8,82.02
1927,9,77.41
1927,10,69.55
1927,11,54.9
1927,12,38.61
1928,1,42.84
1928,2,45.3
