Date,Value,Anomaly
190001,23.94,4.18
190002,19.36,-3.46
190003,29.53,-0.46
190004,39.85,1.24
190005,48.56,1.13
190006,57.06,1.45
190007,60.10,-0.42
190008,59.88,0.84
190009,53.24,1.36
190010,44.80,3.39
190011,30.81,0.13
190012,24.30,1.70
190101,21.09,1.33
190102,19.51,-3.31
190103,28.98,-1.01
190104,37.09,-1.52
190105,48.22,0.79
190106,55.42,-0.19
190107,62.53,2.01
190108,60.22,1.18
190109,50.77,-1.11
190110,42.37,0.96
190111,30.02,-0.66
190112,20.98,-1.62
190201,19.20,-0.56
190202,21.07,-1.75
190203,30.79,0.80
190204,38.30,-0.31
190205,49.55,2.12
190206,54.86,-0.75
190207,59.09,-1.43
190208,58.30,-0.74
190209,49.51,-2.37
190210,41.54,0.13
190211,33.82,3.14
190212,21.40,-1.20
190301,21.00,1.24
190302,17.64,-5.18
190303,31.80,1.81
190304,37.94,-0.67
190305,47.16,-0.27
190306,53.64,-1.97
190307,59.05,-1.47
190308,58.44,-0.60
190309,49.78,-2.10
190310,40.64,-0.77
190311,28.74,-1.94
190312,19.11,-3.49
190401,16.36,-3.40
190402,19.89,-2.93
190403,30.54,0.55
190404,37.00,-1.61
190405,47.25,-0.18
190406,54.55,-1.06
190407,58.51,-2.01
190408,57.85,-1.19
190409,52.16,0.28
190410,41.23,-0.18
190411,30.13,-0.55
190412,21.52,-1.08
190501,17.42,-2.34
190502,16.56,-6.26
190503,34.34,4.35
190504,38.59,-0.02
190505,47.46,0.03
190506,55.62,0.01
190507,59.34,-1.18
190508,59.40,0.36
190509,53.04,1.16
190510,39.45,-1.96
190511,31.06,0.38
190512,21.09,-1.51
190601,22.37,2.61
190602,22.44,-0.38
190603,25.90,-4.09
190604,40.10,1.49
190605,47.16,-0.27
190606,54.66,-0.95
190607,59.56,-0.96
190608,59.59,0.55
190609,53.69,1.81
190610,40.05,-1.36
190611,30.16,-0.52
190612,25.70,3.10
190701,20.95,1.19
190702,23.85,1.03
190703,34.29,4.30
190704,35.55,-3.06
190705,43.61,-3.82
190706,53.19,-2.42
190707,59.74,-0.78
190708,57.96,-1.08
190709,51.31,-0.57
190710,41.22,-0.19
190711,29.79,-0.89
190712,24.78,2.18
190801,21.61,1.85
190802,22.48,-0.34
190803,32.02,2.03
190804,39.79,1.18
190805,46.63,-0.80
190806,54.23,-1.38
190807,60.19,-0.33
190808,57.96,-1.08
190809,51.66,-0.22
190810,39.06,-2.35
190811,30.60,-0.08
190812,23.25,0.65
190901,22.24,2.48
190902,23.90,1.08
190903,29.37,-0.62
190904,36.41,-2.20
190905,45.21,-2.22
190906,56.39,0.78
190907,59.99,-0.53
190908,59.76,0.72
190909,51.46,-0.42
190910,39.45,-1.96
190911,33.75,3.07
190912,16.45,-6.15
191001,19.40,-0.36
191002,17.82,-5.00
191003,35.76,5.77
191004,39.81,1.20
191005,45.97,-1.46
191006,54.64,-0.97
191007,60.58,0.06
191008,57.70,-1.34
191009,52.81,0.93
191010,42.19,0.78
191011,30.18,-0.50
191012,21.87,-0.73
191101,22.41,2.65
191102,23.25,0.43
191103,31.75,1.76
191104,37.87,-0.74
191105,47.64,0.21
191106,57.24,1.63
191107,59.52,-1.00
191108,57.76,-1.28
191109,53.82,1.94
191110,41.02,-0.39
191111,26.08,-4.60
191112,22.60,0.00
191201,14.14,-5.62
191202,20.21,-2.61
191203,25.34,-4.65
191204,38.86,0.25
191205,47.88,0.45
191206,53.71,-1.90
191207,59.88,-0.64
191208,57.90,-1.14
191209,50.41,-1.47
191210,40.80,-0.61
191211,30.31,-0.37
191212,22.46,-0.14
191301,19.51,-0.25
191302,18.61,-4.21
191303,27.14,-2.85
191304,38.30,-0.31
191305,46.99,-0.44
191306,55.29,-0.32
191307,59.97,-0.55
191308,59.76,0.72
191309,50.86,-1.02
191310,39.65,-1.76
191311,34.95,4.27
191312,24.15,1.55
191401,24.51,4.75
191402,18.21,-4.61
191403,28.94,-1.05
191404,39.13,0.52
191405,48.24,0.81
191406,56.70,1.09
191407,60.89,0.37
191408,58.68,-0.36
191409,51.51,-0.37
191410,43.48,2.07
191411,30.90,0.22
191412,17.96,-4.64
191501,18.37,-1.39
191502,26.33,3.51
191503,26.51,-3.48
191504,42.06,3.45
191505,46.56,-0.87
191506,53.40,-2.21
191507,58.73,-1.79
191508,57.42,-1.62
191509,52.29,0.41
191510,41.76,0.35
191511,31.48,0.80
191512,23.11,0.51
191601,18.18,-1.58
191602,21.67,-1.15
191603,29.68,-0.31
191604,38.01,-0.60
191605,46.40,-1.03
191606,53.38,-2.23
191607,61.43,0.91
191608,58.87,-0.17
191609,49.95,-1.93
191610,39.43,-1.98
191611,27.79,-2.89
191612,18.00,-4.60
191701,17.55,-2.21
191702,18.28,-4.54
191703,26.65,-3.34
191704,36.81,-1.80
191705,43.02,-4.41
191706,53.13,-2.48
191707,61.18,0.66
191708,57.54,-1.50
191709,51.08,-0.80
191710,36.48,-4.93
191711,31.03,0.35
191712,18.64,-3.96
191801,13.30,-6.46
191802,21.76,-1.06
191803,33.19,3.20
191804,36.72,-1.89
191805,47.79,0.36
191806,57.60,1.99
191807,59.07,-1.45
191808,59.20,0.16
191809,48.74,-3.14
191810,44.60,3.19
191811,30.43,-0.25
191812,25.18,2.58
191901,20.91,1.15
191902,22.37,-0.45
191903,29.61,-0.38
191904,39.11,0.50
191905,47.43,0.00
191906,56.14,0.53
191907,61.18,0.66
191908,58.84,-0.20
191909,52.88,1.00
191910,41.76,0.35
191911,28.67,-2.01
191912,18.39,-4.21
192001,19.15,-0.61
192002,23.31,0.49
192003,28.65,-1.34
192004,35.42,-3.19
192005,46.83,-0.60
192006,54.66,-0.95
192007,59.36,-1.16
192008,57.94,-1.10
192009,52.68,0.80
192010,42.15,0.74
192011,29.62,-1.06
192012,23.52,0.92
192101,24.24,4.48
192102,25.50,2.68
192103,34.70,4.71
192104,38.26,-0.35
192105,47.66,0.23
192106,57.70,2.09
192107,61.70,1.18
192108,59.02,-0.02
192109,53.71,1.83
192110,41.36,-0.05
192111,30.92,0.24
192112,24.80,2.20
192201,16.38,-3.38
192202,21.02,-1.80
192203,29.37,-0.62
192204,38.79,0.18
192205,48.63,1.20
192206,56.89,1.28
192207,59.88,-0.64
192208,59.58,0.54
192209,53.04,1.16
192210,41.32,-0.09
192211,31.64,0.96
192212,23.50,0.90
192301,24.10,4.34
192302,18.39,-4.43
192303,26.11,-3.88
192304,37.78,-0.83
192305,46.74,-0.69
192306,55.71,0.10
192307,60.94,0.42
192308,58.41,-0.63
192309,52.61,0.73
192310,39.72,-1.69
192311,31.50,0.82
192312,26.35,3.75
192401,14.85,-4.91
192402,24.24,1.42
192403,27.16,-2.83
192404,37.71,-0.90
192405,44.51,-2.92
192406,55.24,-0.37
192407,58.35,-2.17
192408,58.28,-0.76
192409,49.37,-2.51
192410,41.49,0.08
192411,30.49,-0.19
192412,17.33,-5.27
192501,18.32,-1.44
192502,26.85,4.03
192503,31.35,1.36
192504,41.76,3.15
192505,46.35,-1.08
192506,56.98,1.37
192507,60.82,0.30
192508,57.81,-1.23
192509,54.27,2.39
192510,38.26,-3.15
192511,29.35,-1.33
192512,22.75,0.15
192601,20.17,0.41
192602,26.78,3.96
192603,28.11,-1.88
192604,37.38,-1.23
192605,47.59,0.16
192606,54.59,-1.02
192607,59.86,-0.66
192608,59.52,0.48
192609,51.93,0.05
192610,42.80,1.39
192611,29.75,-0.93
192612,21.81,-0.79
192701,21.22,1.46
192702,27.52,4.70
192703,31.26,1.27
192704,39.65,1.04
192705,47.55,0.12
192706,54.84,-0.77
192707,59.49,-1.03
192708,56.66,-2.38
192709,52.48,0.60
192710,42.21,0.80
192711,33.78,3.10
192712,17.83,-4.77
192801,21.11,1.35
192802,23.38,0.56
192803,31.39,1.40
192804,35.60,-3.01
192805,47.95,0.52
192806,53.83,-1.78
192807,60.62,0.10
192808,58.80,-0.24
192809,49.50,-2.38
192810,42.75,1.34
192811,31.35,0.67
192812,22.51,-0.09
192901,15.53,-4.23
192902,15.98,-6.84
192903,32.14,2.15
192904,39.27,0.66
192905,46.06,-1.37
192906,54.21,-1.40
192907,60.26,-0.26
192908,58.73,-0.31
192909,50.95,-0.93
192910,41.38,-0.03
192911,27.55,-3.13
192912,23.22,0.62
193001,13.33,-6.43
193002,28.54,5.72
193003,28.62,-1.37
193004,41.05,2.44
193005,46.92,-0.51
193006,54.70,-0.91
193007,60.91,0.39
193008,59.25,0.21
193009,52.56,0.68
193010,40.05,-1.36
193011,29.80,-0.88
193012,21.34,-1.26
193101,22.35,2.59
193102,27.37,4.55
193103,28.33,-1.66
193104,37.99,-0.62
193105,45.95,-1.48
193106,57.15,1.54
193107,62.06,1.54
193108,58.71,-0.33
193109,55.00,3.12
193110,43.83,2.42
193111,32.50,1.82
193112,25.86,3.26
193201,22.03,2.27
193202,25.81,2.99
193203,26.38,-3.61
193204,39.00,0.39
193205,47.62,0.19
193206,56.34,0.73
193207,60.76,0.24
193208,59.32,0.28
193209,50.94,-0.94
193210,39.90,-1.51
193211,28.89,-1.79
193212,19.35,-3.25
193301,23.70,3.94
193302,17.78,-5.04
193303,30.40,0.41
193304,37.33,-1.28
193305,47.70,0.27
193306,57.16,1.55
193307,61.48,0.96
193308,58.87,-0.17
193309,54.72,2.84
193310,41.83,0.42
193311,30.34,-0.34
193312,25.48,2.88
193401,24.48,4.72
193402,22.48,-0.34
193403,29.64,-0.35
193404,40.30,1.69
193405,50.13,2.70
193406,56.98,1.37
193407,62.15,1.63
193408,60.03,0.99
193409,50.76,-1.12
193410,43.29,1.88
193411,34.12,3.44
193412,22.91,0.31
193501,20.86,1.10
193502,25.02,2.20
193503,32.20,2.21
193504,38.39,-0.22
193505,45.72,-1.71
193506,54.81,-0.80
193507,61.90,1.38
193508,59.79,0.75
193509,51.33,-0.55
193510,40.71,-0.70
193511,29.28,-1.40
193512,21.25,-1.35
193601,17.17,-2.59
193602,14.22,-8.60
193603,31.37,1.38
193604,37.13,-1.48
193605,49.75,2.32
193606,56.59,0.98
193607,62.73,2.21
193608,60.85,1.81
193609,53.44,1.56
193610,40.84,-0.57
193611,27.68,-3.00
193612,24.58,1.98
193701,14.76,-5.00
193702,20.95,-1.87
193703,27.95,-2.04
193704,37.98,-0.63
193705,48.47,1.04
193706,56.14,0.53
193707,61.29,0.77
193708,61.05,2.01
193709,52.29,0.41
193710,41.47,0.06
193711,29.98,-0.70
193712,23.47,0.87
193801,22.14,2.38
193802,25.77,2.95
193803,33.84,3.85
193804,39.38,0.77
193805,47.59,0.16
193806,55.98,0.37
193807,60.87,0.35
193808,60.12,1.08
193809,53.26,1.38
193810,42.78,1.37
193811,27.99,-2.69
193812,23.86,1.26
193901,23.81,4.05
193902,18.41,-4.41
193903,30.24,0.25
193904,38.48,-0.13
193905,48.96,1.53
193906,56.14,0.53
193907,61.12,0.60
193908,58.87,-0.17
193909,53.49,1.61
193910,41.49,0.08
193911,29.64,-1.04
193912,26.60,4.00
194001,14.11,-5.65
194002,24.26,1.44
194003,30.13,0.14
194004,38.28,-0.33
194005,47.12,-0.31
194006,56.19,0.58
194007,60.67,0.15
194008,59.00,-0.04
194009,52.56,0.68
194010,42.93,1.52
194011,28.72,-1.96
194012,26.42,3.82
194101,22.86,3.10
194102,23.45,0.63
194103,28.09,-1.90
194104,40.41,1.80
194105,49.41,1.98
194106,55.76,0.15
194107,61.02,0.50
194108,59.36,0.32
194109,52.12,0.24
