year,month,value
1900,1,23.94
1900,2,19.36
1900,3,29.53
1900,4,39.85
1900,5,48.56
1900,6,57.06
1900,7,60.1
1900,8,59.88
1900,9,53.24
1900,10,44.8
1900,11,30.81
1900,12,24.3
1901,1,21.09
1901,2,19.51
1901,3,28.98
1901,4,37.09
1901,5,48.22
1901,6,55.42
1901,7,62.53
1901,8,60.22
1901,9,50.77
1901,10,42.37
1901,11,30.02
1901,12,20.98
1902,1,19.2
1902,2,21.07
1902,3,30.79
1902,4,38.3
1902,5,49.55
1902,6,54.86
1902,7,59.09
1902,8,58.3
1902,9,49.51
1902,10,41.54
1902,11,33.82
1902,12,21.4
1903,1,21.0
1903,2,17.64
1903,3,31.8
1903,4,37.94
1903,5,47.16
1903,6,53.64
1903,7,59.05
1903,8,58.44
1903,9,49.78
1903,10,40.64
1903,11,28.74
1903,12,19.11
1904,1,16.36
1904,2,19.89
1904,3,30.54
1904,4,37.0
1904,5,47.25
1904,6,54.55
1904,7,58.51
1904,8,57.85
1904,9,52.16
1904,10,41.23
1904,11,30.13
1904,12,21.52
1905,1,17.42
1905,2,16.56
1905,3,34.34
1905,4,38.59
1905,5,47.46
1905,6,55.62
1905,7,59.34
1905,8,59.4
1905,9,53.04
1905,10,39.45
1905,11,31.06
1905,12,21.09
1906,1,22.37
1906,2,22.44
1906,3,25.9
1906,4,40.1
1906,5,47.16
1906,6,54.66
1906,7,59.56
1906,8,59.59
1906,9,53.69
1906,10,40.05
1906,11,30.16
1906,12,25.7
1907,1,20.95
1907,2,23.85
1907,3,34.29
1907,4,35.55
1907,5,43.61
1907,6,53.19
1907,7,59.74
1907,8,57.96
1907,9,51.31
1907,10,41.22
1907,11,29.79
1907,12,24.78
1908,1,21.61
1908,2,22.48
1908,3,32.02
1908,4,39.79
1908,5,46.63
1908,6,54.23
1908,7,60.19
1908,8,57.96
1908,9,51.66
1908,10,39.06
1908,11,30.6
1908,12,23.25
1909,1,22.24
1909,2,23.9
1909,3,29.37
1909,4,36.41
1909,5,45.21
1909,6,56.39
1909,7,59.99
1909,8,59.76
1909,9,51.46
1909,10,39.45
1909,11,33.75
1909,12,16.45
1910,1,19.4
1910,2,17.82
1910,3,35.76
1910,4,39.81
1910,5,45.97
1910,6,54.64
1910,7,60.58
1910,8,57.7
1910,9,52.81
1910,10,42.19
1910,11,30.18
1910,12,21.87
1911,1,22.41
1911,2,23.25
1911,3,31.75
1911,4,37.87
1911,5,47.64
1911,6,57.24
1911,7,59.52
1911,8,57.76
1911,9,53.82
1911,10,41.02
1911,11,26.08
1911,12,22.6
1912,1,14.14
1912,2,20.21
1912,3,25.34
1912,4,38.86
1912,5,47.88
1912,6,53.71
1912,7,59.88
1912,8,57.9
1912,9,50.41
1912,10,40.8
1912,11,30.31
1912,12,22.46
1913,1,19.51
1913,2,18.61
1913,3,27.14
1913,4,38.3
1913,5,46.99
1913,6,55.29
1913,7,59.97
1913,8,59.76
1913,9,50.86
1913,10,39.65
1913,11,34.95
1913,12,24.15
1914,1,24.51
1914,2,18.21
1914,3,28.94
1914,4,39.13
1914,5,48.24
1914,6,56.7
1914,7,60.89
1914,8,58.68
1914,9,51.51
1914,10,43.48
1914,11,30.9
1914,12,17.96
1915,1,18.37
1915,2,26.33
1915,3,26.51
1915,4,42.06
1915,5,46.56
1915,6,53.4
1915,7,58.73
1915,8,57.42
1915,9,52.29
1915,10,41.76
1915,11,31.48
1915,12,23.11
1916,1,18.18
1916,2,21.67
1916,3,29.68
1916,4,38.01
1916,5,46.4
1916,6,53.38
1916,7,61.43
1916,8,58.87
1916,9,49.95
1916,10,39.43
1916,11,27.79
1916,12,18.0
1917,1,17.55
1917,2,18.28
1917,3,26.65
1917,4,36.81
1917,5,43.02
1917,6,53.13
1917,7,61.18
1917,8,57.54
1917,9,51.08
1917,10,36.48
1917,11,31.03
1917,12,18.64
1918,1,13.3
1918,2,21.76
1918,3,33.19
1918,4,36.72
1918,5,47.79
1918,6,57.6
1918,7,59.07
1918,8,59.2
1918,9,48.74
1918,10,44.6
1918,11,30.43
1918,12,25.18
1919,1,20.91
1919,2,22.37
1919,3,29.61
1919,4,39.11
1919,5,47.43
1919,6,56.14
1919,7,61.18
1919,8,58.84
1919,9,52.88
1919,10,41.76
1919,11,28.67
1919,12,18.39
1920,1,19.15
1920,2,23.31
1920,3,28.65
1920,4,35.42
1920,5,46.83
1920,6,54.66
1920,7,59.36
1920,8,57.94
1920,9,52.68
1920,10,42.15
1920,11,29.62
1920,12,23.52
1921,1,24.24
1921,2,25.5
1921,3,34.7
1921,4,38.26
1921,5,47.66
1921,6,57.7
1921,7,61.7
1921,8,59.02
1921,9,53.71
1921,10,41.36
1921,11,30.92
1921,12,24.8
1922,1,16.38
1922,2,21.02
1922,3,29.37
1922,4,38.79
1922,5,48.63
1922,6,56.89
1922,7,59.88
1922,8,59.58
1922,9,53.04
1922,10,41.32
1922,11,31.64
1922,12,23.5
1923,1,24.1
1923,2,18.39
1923,3,26.11
1923,4,37.78
1923,5,46.74
1923,6,55.71
1923,7,60.94
1923,8,58.41
1923,9,52.61
1923,10,39.72
1923,11,31.5
1923,12,26.35
1924,1,14.85
1924,2,24.24
1924,3,27.16
1924,4,37.71
1924,5,44.51
1924,6,55.24
1924,7,58.35
1924,8,58.28
1924,9,49.37
1924,10,41.49
1924,11,30.49
1924,12,17.33
1925,1,18.32
1925,2,26.85
1925,3,31.35
1925,4,41.76
1925,5,46.35
1925,6,56.98
1925,7,60.82
1925,8,57.81
1925,9,54.27
1925,10,38.26
1925,11,29.35
1925,12,22.75
1926,1,20.17
1926,2,26.78
1926,3,28.11
1926,4,37.38
1926,5,47.59
1926,6,54.59
1926,7,59.86
1926,8,59.52
1926,9,51.93
1926,10,42.8
1926,11,29.75
1926,12,21.81
1927,1,21.22
1927,2,27.52
1927,3,31.26
1927,4,39.65
1927,5,47.55
1927,6,54.84
1927,7,59.49
1927,8,56.66
1927,9,52.48
1927,10,42.21
1927,11,33.78
1927,12,17.83
1928,1,21.11
1928,2,23.38
1928,3,31.39
1928,4,35.6
1928,5,47.95
1928,6,53.83
1928,7,60.62
1928,8,58.8
1928,9,49.5
1928,10,42.75
1928,11,31.35
1928,12,22.51
1929,1,15.53
1929,2,15.98
1929,3,32.14
1929,4,39.27
1929,5,46.06
1929,6,54.21
1929,7,60.26
1929,8,58.73
1929,9,50.95
1929,10,41.38
1929,11,27.55
1929,12,23.22
1930,1,13.33
1930,2,28.54
1930,3,28.62
1930,4,41.05
1930,5,46.92
1930,6,54.7
1930,7,60.91
1930,8,59.25
1930,9,52.56
1930,10,40.05
1930,11,29.8
1930,12,21.34
1931,1,22.35
1931,2,27.37
1931,3,28.33
1931,4,37.99
1931,5,45.95
1931,6,57.15
1931,7,62.06
1931,8,58.71
1931,9,55.0
1931,10,43.83
1931,11,32.5
1931,12,25.86
1932,1,22.03
1932,2,25.81
1932,3,26.38
1932,4,39.0
1932,5,47.62
1932,6,56.34
1932,7,60.76
1932,8,59.32
1932,9,50.94
1932,10,39.9
1932,11,28.89
1932,12,19.35
1933,1,23.7
1933,2,17.78
1933,3,30.4
1933,4,37.33
1933,5,47.7
1933,6,57.16
1933,7,61.48
1933,8,58.87
1933,9,54.72
1933,10,41.83
1933,11,30.34
1933,12,25.48
1934,1,24.48
1934,2,22.48
1934,3,29.64
1934,4,40.3
1934,5,50.13
1934,6,56.98
1934,7,62.15
1934,8,60.03
1934,9,50.76
1934,10,43.29
1934,11,34.12
1934,12,22.91
1935,1,20.86
1935,2,25.02
1935,3,32.2
1935,4,38.39
1935,5,45.72
1935,6,54.81
1935,7,61.9
1935,8,59.79
1935,9,51.33
1935,10,40.71
1935,11,29.28
1935,12,21.25
1936,1,17.17
1936,2,14.22
1936,3,31.37
1936,4,37.13
1936,5,49.75
1936,6,56.59
1936,7,62.73
1936,8,60.85
1936,9,53.44
1936,10,40.84
1936,11,27.68
1936,12,24.58
1937,1,14.76
1937,2,20.95
1937,3,27.95
1937,4,37.98
1937,5,48.47
1937,6,56.14
1937,7,61.29
1937,8,61.05
1937,9,52.29
1937,10,41.47
1937,11,29.98
1937,12,23.47
1938,1,22.14
1938,2,25.77
1938,3,33.84
1938,4,39.38
1938,5,47.59
1938,6,55.98
1938,7,60.87
1938,8,60.12
1938,9,53.26
1938,10,42.78
1938,11,27.99
1938,12,23.86
1939,1,23.81
1939,2,18.41
1939,3,30.24
1939,4,38.48
1939,5,48.96
1939,6,56.14
1939,7,61.12
1939,8,58.87
1939,9,53.49
1939,10,41.49
1939,11,29.64
1939,12,26.6
1940,1,14.11
1940,2,24.26
1940,3,30.13
1940,4,38.28
