Country,Code,CO2,Continent,Population,Total
Qatar,QAT,37.601273,Asia,2695122.0,101340018.090306
United Arab Emirates,ARE,25.833244,Asia,9441129.0,243894989.092476
Bahrain,BHR,25.672274,Asia,1472233.0,37795568.967842005
Kuwait,KWT,25.578102,Asia,4268873.0,109189669.01904601
Brunei,BRN,23.950201,Asia,449002.0,10753688.149402
Trinidad and Tobago,TTO,22.423758,North America,1531044.0,34331760.143352
Saudi Arabia,SAU,18.197495,Asia,36408820.0,662549319.9059
New Caledonia,NCL,17.641167,Oceania,289950.0,5115056.37165
Oman,OMN,15.730261,Asia,4576298.0,71986361.953778
Australia,AUS,14.985412,Oceania,26177413.0,392279318.89915603
United States,USA,14.949616,North America,338289857.0,5057303458.844913
Sint Maarten (Dutch part),SXM,14.352394,North America,44175.0,634017.00495
Canada,CAN,14.249212,North America,38454327.0,547943857.740324
Faroe Islands,FRO,14.084624,Europe,53090.0,747752.68816
Kazakhstan,KAZ,13.979704,Asia,19397998.0,271178270.232592
Palau,PLW,12.123921,Oceania,18055.0,218897.393655
Taiwan,TWN,11.630868,Asia,23893394.0,277900911.685992
Luxembourg,LUX,11.618432,Europe,647599.0,7524084.944768
South Korea,KOR,11.598764,Asia,51815810.0,600999351.65884
Russia,RUS,11.416899,Europe,144713314.0,1652177289.8932862
Mongolia,MNG,11.150772,Asia,3398366.0,37894404.438552
Turkmenistan,TKM,11.03418,Asia,6430770.0,70958273.71859999
Greenland,GRL,10.473997,North America,56466.0,591424.7146020001
Saint Pierre and Miquelon,SPM,10.293288,North America,5862.0,60339.254256
Iceland,ISL,9.499798,Europe,372899.0,3542465.174402
Czechia,CZE,9.3357525,Europe,10493986.0,97969256.034465
Libya,LBY,9.242238,Africa,6812341.0,62961276.859158
Curacao,CUW,9.189007,North America,191163.0,1756598.145141
Singapore,SGP,8.911513,Asia,5975689.0,53252430.207457
Anguilla,AIA,8.752724,North America,15857.0,138791.944468
Malaysia,MYS,8.576508,Asia,33938221.0,291071423.91226804
Japan,JPN,8.501681,Asia,123951692.0,1053797744.7942519
Aruba,ABW,8.133404,North America,106445.0,865760.1887800001
Poland,POL,8.106886,Europe,39857145.0,323117330.80047
China,CHN,7.992761,Asia,1425887337.0,11396776697.567457
Germany,DEU,7.9837584,Europe,83369843.0,665604684.3579313
Iran,IRN,7.7993317,Asia,88550570.0,690635267.654069
Estonia,EST,7.77628,Europe,1326062.0,10311829.409359999
Ireland,IRL,7.7211185,Europe,5023109.0,38784019.8274165
Belgium,BEL,7.6875386,Europe,11655930.0,89605411.793898
Turks and Caicos Islands,TCA,7.636793,North America,45703.0,349024.350479
Norway,NOR,7.5093055,Europe,5434319.0,40807961.5554545
Netherlands,NLD,7.1372175,Europe,17564014.0,125358188.091045
Bermuda,BMU,6.9370627,North America,64184.0,445248.43233680003
Austria,AUT,6.8781943,Europe,8939617.0,61488422.69358309
Bulgaria,BGR,6.8044534,Europe,6781953.0,46147483.1494902
South Africa,ZAF,6.7461643,Africa,59893885.0,404053988.7753055
Finland,FIN,6.5267396,Europe,5540745.0,36162999.805002
Antigua and Barbuda,ATG,6.4218745,North America,93763.0,602134.2187435001
New Zealand,NZL,6.212154,Oceania,5185288.0,32211807.590352
Israel,ISR,6.208912,Asia,9038309.0,56118065.209808
Belarus,BLR,6.1669006,Europe,9534954.0,58801113.543572396
Seychelles,SYC,6.1495123,Africa,107118.0,658723.4585514
Bosnia and Herzegovina,BIH,6.1034565,Europe,3233526.0,19735685.282619
Slovakia,SVK,6.051555,Europe,5643453.0,34151666.219414994
Serbia,SRB,6.024712,Europe,7221365.0,43506644.37188
Slovenia,SVN,5.9979916,Europe,2119844.0,12714806.5053104
Suriname,SUR,5.8029985,South America,618040.0,3586485.19294
Greece,GRC,5.7451057,Europe,10384971.0,59662756.0864347
Italy,ITA,5.726825,Europe,59037474.0,338097282.04004997
Cyprus,CYP,5.616782,Europe,1251488.0,7029335.271616
Bahamas,BHS,5.1708703,North America,409984.0,2119974.0890752
Spain,ESP,5.1644425,Europe,47558630.0,245613810.013775
Turkey,TUR,5.1052055,Asia,85341241.0,435684572.9300255
British Virgin Islands,VGB,5.0039577,North America,31305.0,156648.8957985
Denmark,DNK,4.940161,Europe,5882261.0,29059316.384021
Montserrat,MSR,4.8447766,North America,4390.0,21268.569274
United Kingdom,GBR,4.7201805,Europe,67508936.0,318654363.28294796
